EmoEmilia	EmoEmilia_ZH_B00090_S00350_W000000.wav	anger	那就没什么好说的了。贝利亚,就让我粉碎你的计划吧。	你们这群蔬菜战士居然让我出丑接下来看我的厉害启动前进模式轰轰轰
EmoEmilia	EmoEmilia_ZH_B00005_S00030_W000000.wav	anger	不过最近妈妈居然每天清晨都练起的歌，这还了得。我强烈抗议，妈妈。	这才从怪物世界回来多长时间就被死灵诅咒师给盯上了。我很忙的好不好？你们就不要让我操心了。
EmoEmilia	EmoEmilia_ZH_B00005_S00180_W000000.wav	anger	这才从怪物世界回来多长时间就被死灵诅咒师给盯上了。我很忙的好不好？你们就不要让我操心了。	你不是要把我们变成傀儡用来做实验吗？我看你也不怎么样啊，难不成就这么点本事？
EmoEmilia	EmoEmilia_ZH_B00005_S00199_W000008.wav	anger	你不是要把我们变成傀儡用来做实验吗？我看你也不怎么样啊，难不成就这么点本事？	这个巫师老头不耐烦的看了一眼科学怪人，说道，胆子真不小，竟然敢在我的后山藏江室上次随手放了一个魔法阵，竟然还被你破解了魔法阵。
EmoEmilia	EmoEmilia_ZH_B00005_S00211_W000008.wav	anger	这个巫师老头不耐烦的看了一眼科学怪人，说道，胆子真不小，竟然敢在我的后山藏江室上次随手放了一个魔法阵，竟然还被你破解了魔法阵。	快快点把小达达放了，不然我们就不客气了。
EmoEmilia	EmoEmilia_ZH_B00005_S00222_W000000.wav	anger	快快点把小达达放了，不然我们就不客气了。	只落得一个赔了夫人又折兵的下场。更让我气愤的是，她每次胜利以后，都会摆出一副我有后台我怕谁的样子。
EmoEmilia	EmoEmilia_ZH_B00005_S00232_W000001.wav	anger	只落得一个赔了夫人又折兵的下场。更让我气愤的是，她每次胜利以后，都会摆出一副我有后台我怕谁的样子。	坏家伙真是忘恩负义，要不是我救了他他早就被吃了。
EmoEmilia	EmoEmilia_ZH_B00005_S00267_W000010.wav	anger	坏家伙真是忘恩负义，要不是我救了他他早就被吃了。	现在你口中说的暴君就在你的面前，你打算怎么办？
EmoEmilia	EmoEmilia_ZH_B00005_S00429_W000007.wav	anger	现在你口中说的暴君就在你的面前，你打算怎么办？	天没亮就出门，天快黑了才回来，你倒是很会掐饭点儿吗？
EmoEmilia	EmoEmilia_ZH_B00005_S00429_W000024.wav	anger	天没亮就出门，天快黑了才回来，你倒是很会掐饭点儿吗？	随你怎么说都行够了，芙蓉实在是听不下去了。大吼道，你们两个有完没完，快点给我选，再磨蹭下去，我来帮你们选。对呀对呀，快打快打，再不打的话，就变成我们打你们了。
EmoEmilia	EmoEmilia_ZH_B00005_S00431_W000011.wav	anger	随你怎么说都行够了，芙蓉实在是听不下去了。大吼道，你们两个有完没完，快点给我选，再磨蹭下去，我来帮你们选。对呀对呀，快打快打，再不打的话，就变成我们打你们了。	芙蓉用胳膊撑起身子，恶狠狠的瞪着小智。我今天非让你在这儿死过一次，不可。
EmoEmilia	EmoEmilia_ZH_B00005_S00452_W000004.wav	anger	芙蓉用胳膊撑起身子，恶狠狠的瞪着小智。我今天非让你在这儿死过一次，不可。	你这把脑残剑少给我唧唧歪歪的，凭什么要我去当那种悲情角色？
EmoEmilia	EmoEmilia_ZH_B00005_S00458_W000017.wav	anger	你这把脑残剑少给我唧唧歪歪的，凭什么要我去当那种悲情角色？	你这家伙刚才在试图操控我的想法，对吧？告诉你，要是敢有下次。
EmoEmilia	EmoEmilia_ZH_B00005_S00458_W000021.wav	anger	你这家伙刚才在试图操控我的想法，对吧？告诉你，要是敢有下次。	我保证会把你再关上个一千年。
EmoEmilia	EmoEmilia_ZH_B00005_S00458_W000022.wav	anger	我保证会把你再关上个一千年。	不是出个胖子奸商，就是出个脑残博士。现在连你这种不自量力的协调家也都有了。
EmoEmilia	EmoEmilia_ZH_B00005_S00463_W000028.wav	anger	不是出个胖子奸商，就是出个脑残博士。现在连你这种不自量力的协调家也都有了。	你的那个同伴也是来参加凯纳大会的对吧？我告诉你，他绝对别想赢，很好。
EmoEmilia	EmoEmilia_ZH_B00005_S00463_W000040.wav	anger	你的那个同伴也是来参加凯纳大会的对吧？我告诉你，他绝对别想赢，很好。	所以才被那只双剑鞘给追杀的，是要你骗谁呢？军杀猛的一拍桌子，先不说这个故事的真实性，你就不觉得自己的话很可笑吗？
EmoEmilia	EmoEmilia_ZH_B00005_S00465_W000016.wav	anger	所以才被那只双剑鞘给追杀的，是要你骗谁呢？军杀猛的一拍桌子，先不说这个故事的真实性，你就不觉得自己的话很可笑吗？	你这把破剑也好，哪个臭小鬼也罢，现在摆在你们面前的只有两条路，要么在你们中决出一个胜利者，要么就被我的伙伴们撕成碎片。
EmoEmilia	EmoEmilia_ZH_B00005_S00466_W000048.wav	anger	你这把破剑也好，哪个臭小鬼也罢，现在摆在你们面前的只有两条路，要么在你们中决出一个胜利者，要么就被我的伙伴们撕成碎片。	络腮胡大叔一愣，脸上露出了暴怒之色，大吼道混账，给我把话收回去，否则休怪，我不客气，你准备怎么不客气？小这么样露不屑，伸手拿出精灵球，说句实话。
EmoEmilia	EmoEmilia_ZH_B00005_S00468_W000016.wav	anger	络腮胡大叔一愣，脸上露出了暴怒之色，大吼道混账，给我把话收回去，否则休怪，我不客气，你准备怎么不客气？小这么样露不屑，伸手拿出精灵球，说句实话。	那个突然跑出来的家伙，又不是裁判，我干嘛要听他了？
EmoEmilia	EmoEmilia_ZH_B00005_S00479_W000033.wav	anger	那个突然跑出来的家伙，又不是裁判，我干嘛要听他了？	我有什么责任？要不是你多管闲事，事情也不会变成这样。一提起这个小智就一肚子火，到手的鸭子又肥了。更可气的是。
EmoEmilia	EmoEmilia_ZH_B00005_S00488_W000025.wav	anger	我有什么责任？要不是你多管闲事，事情也不会变成这样。一提起这个小智就一肚子火，到手的鸭子又肥了。更可气的是。	你个白痴冠军，居然有脸叫我放弃，你还不如直接叫我自杀算了。不是的这应该只是一。
EmoEmilia	EmoEmilia_ZH_B00005_S00490_W000019.wav	anger	你个白痴冠军，居然有脸叫我放弃，你还不如直接叫我自杀算了。不是的这应该只是一。	都什么年代了，他居然还拿西瓜刀来砍你，你说谁是西瓜刀？
EmoEmilia	EmoEmilia_ZH_B00005_S00491_W000023.wav	anger	都什么年代了，他居然还拿西瓜刀来砍你，你说谁是西瓜刀？	这个叫弗拉达利的家伙，派了你这个马仔来试探我，接着又装模作样的跑出来阻止，是这么一回事吗？别这么说，小志大悟苦笑着摇头。
EmoEmilia	EmoEmilia_ZH_B00005_S00494_W000023.wav	anger	这个叫弗拉达利的家伙，派了你这个马仔来试探我，接着又装模作样的跑出来阻止，是这么一回事吗？别这么说，小志大悟苦笑着摇头。	裂空座对方圆，甚至对整个世界来说都是莫大的威胁，我只是为民除害罢了。什么叫为民除害？这根本就是私仇。
EmoEmilia	EmoEmilia_ZH_B00005_S00515_W000036.wav	anger	裂空座对方圆，甚至对整个世界来说都是莫大的威胁，我只是为民除害罢了。什么叫为民除害？这根本就是私仇。	我一人做事一人，当我的亲戚朋友们并没有招惹你们，你们凭什么对他们下手？
EmoEmilia	EmoEmilia_ZH_B00005_S00518_W000016.wav	anger	我一人做事一人，当我的亲戚朋友们并没有招惹你们，你们凭什么对他们下手？	他有点挑衅的望着木乃伊，昂着头说道，来呀，惩罚我，我等着你们，惩罚木乃伊，火冒三丈。
EmoEmilia	EmoEmilia_ZH_B00005_S00540_W000071.wav	anger	他有点挑衅的望着木乃伊，昂着头说道，来呀，惩罚我，我等着你们，惩罚木乃伊，火冒三丈。	想来就是那个时候亚西达搜集到了他的血液。更可气的是，这死胖子居然还瞒着不说好啦，小智先别在意这个了，我还有东西，想给你看，跟我来吧。
EmoEmilia	EmoEmilia_ZH_B00005_S00543_W000029.wav	anger	想来就是那个时候亚西达搜集到了他的血液。更可气的是，这死胖子居然还瞒着不说好啦，小智先别在意这个了，我还有东西，想给你看，跟我来吧。	科尔尼就不由分说的硬拉着塔狂奔起来，边跑还边抱怨这雷公是怎么回事啊？看到有人挑战还逃跑，这么大个儿真是白长。
EmoEmilia	EmoEmilia_ZH_B00005_S00564_W000009.wav	anger	科尔尼就不由分说的硬拉着塔狂奔起来，边跑还边抱怨这雷公是怎么回事啊？看到有人挑战还逃跑，这么大个儿真是白长。	你这个混蛋竟然敢在这里通风报信，一个粗糙的声音突然响起来，这让落水和高帅都吃了一惊。
EmoEmilia	EmoEmilia_ZH_B00005_S00566_W000069.wav	anger	你这个混蛋竟然敢在这里通风报信，一个粗糙的声音突然响起来，这让落水和高帅都吃了一惊。	好哇九五二零，你竟然做出这样的事儿，看我怎么收拾你木乃伊的目标。先是高帅九五二零落水愣了一下，但他马上就明白了。
EmoEmilia	EmoEmilia_ZH_B00005_S00566_W000081.wav	anger	好哇九五二零，你竟然做出这样的事儿，看我怎么收拾你木乃伊的目标。先是高帅九五二零落水愣了一下，但他马上就明白了。	快点再去找，找不到，我就把你们水塘里的水全都喝干。呃，是。
EmoEmilia	EmoEmilia_ZH_B00005_S00572_W000000.wav	anger	快点再去找，找不到，我就把你们水塘里的水全都喝干。呃，是。	我身上本来就一堆的破事儿，现在这家伙还给我添乱，为了他的事，我的脑袋都快要疼死了。
EmoEmilia	EmoEmilia_ZH_B00005_S00587_W000001.wav	anger	我身上本来就一堆的破事儿，现在这家伙还给我添乱，为了他的事，我的脑袋都快要疼死了。	接着，西天王用剑指着黑衣人的脖子厉声的说道，快说，你是和谁勾结的？为什么要偷走神石？你们的目的又是什么？谁是你的内应。快说，要不然我一刀砍了你。
EmoEmilia	EmoEmilia_ZH_B00005_S00589_W000032.wav	anger	接着，西天王用剑指着黑衣人的脖子厉声的说道，快说，你是和谁勾结的？为什么要偷走神石？你们的目的又是什么？谁是你的内应。快说，要不然我一刀砍了你。	谁信你的鬼话呀？西天王打断了黑人的哭泣，他说道，你把我们都当成了傻子吗？你一个人能闯进戒备森林的神石殿，真是说笑，老实交代，谁是你的内应。
EmoEmilia	EmoEmilia_ZH_B00005_S00589_W000039.wav	anger	谁信你的鬼话呀？西天王打断了黑人的哭泣，他说道，你把我们都当成了傻子吗？你一个人能闯进戒备森林的神石殿，真是说笑，老实交代，谁是你的内应。	他可是偷神石的贼呀，偷神石可是死罪，而且还有内应没有抓出来呢。
EmoEmilia	EmoEmilia_ZH_B00005_S00589_W000076.wav	anger	他可是偷神石的贼呀，偷神石可是死罪，而且还有内应没有抓出来呢。	他这个混蛋居然敢冒充我的样子来骗取生命水，实在是罪该万死。
EmoEmilia	EmoEmilia_ZH_B00005_S00611_W000036.wav	anger	他这个混蛋居然敢冒充我的样子来骗取生命水，实在是罪该万死。	你这个混蛋，你为什么要告诉我这些话，为什么又放我回去？
EmoEmilia	EmoEmilia_ZH_B00005_S00611_W000068.wav	anger	你这个混蛋，你为什么要告诉我这些话，为什么又放我回去？	对他处罚过轻，立刻把所有法官处以绞刑。
EmoEmilia	EmoEmilia_ZH_B00005_S00641_W000005.wav	anger	对他处罚过轻，立刻把所有法官处以绞刑。	你们真以为赵一飞只是让你们过来修复兵马俑，完成后清除记忆，再放。你们回去告诉你们，他根本就不会消除记忆。
EmoEmilia	EmoEmilia_ZH_B00005_S00642_W000007.wav	anger	你们真以为赵一飞只是让你们过来修复兵马俑，完成后清除记忆，再放。你们回去告诉你们，他根本就不会消除记忆。	这一回，小嘎子真生气了，他在水中快速的躲闪着枪子儿，突然他又是一个猛扑，只听扑通一声。
EmoEmilia	EmoEmilia_ZH_B00005_S00682_W000009.wav	anger	这一回，小嘎子真生气了，他在水中快速的躲闪着枪子儿，突然他又是一个猛扑，只听扑通一声。	不许动举起手来，不然我打死你这个狗汉奸。
EmoEmilia	EmoEmilia_ZH_B00005_S00689_W000001.wav	anger	不许动举起手来，不然我打死你这个狗汉奸。	小子是越来越没有纪律，臭小子，你真行啊，你还记得你是八路军吗？怎么能这样对待乡亲们呢？
EmoEmilia	EmoEmilia_ZH_B00005_S00735_W000003.wav	anger	小子是越来越没有纪律，臭小子，你真行啊，你还记得你是八路军吗？怎么能这样对待乡亲们呢？	我要关你禁闭去，我屋里反思去，想不明白就别出来。
EmoEmilia	EmoEmilia_ZH_B00005_S00735_W000004.wav	anger	我要关你禁闭去，我屋里反思去，想不明白就别出来。	怎么处理？一定让他死的很难看，哼。
EmoEmilia	EmoEmilia_ZH_B00005_S00963_W000001.wav	anger	怎么处理？一定让他死的很难看，哼。	谁是金银花，你才是金银花呢？你们全家都是金银花。
EmoEmilia	EmoEmilia_ZH_B00005_S01031_W000015.wav	anger	谁是金银花，你才是金银花呢？你们全家都是金银花。	叫你找个问题都找不到，我要你有什么用？
EmoEmilia	EmoEmilia_ZH_B00005_S01317_W000002.wav	anger	叫你找个问题都找不到，我要你有什么用？	你看看你平时怎么管的小孩儿，越来越没礼貌。妈妈耐心的对外公说。
EmoEmilia	EmoEmilia_ZH_B00005_S01347_W000032.wav	anger	你看看你平时怎么管的小孩儿，越来越没礼貌。妈妈耐心的对外公说。	要是再给陌生人开门，我就打断你的手，再打断你的腿，再剥了你的皮再触你的筋，说的我浑身发冷。
EmoEmilia	EmoEmilia_ZH_B00005_S01347_W000092.wav	anger	要是再给陌生人开门，我就打断你的手，再打断你的腿，再剥了你的皮再触你的筋，说的我浑身发冷。	我早就告诉你们要节约，要节约，要节约。因为我们家快没钱了，你这傻孩子怎么老是不听？
EmoEmilia	EmoEmilia_ZH_B00005_S01360_W000067.wav	anger	我早就告诉你们要节约，要节约，要节约。因为我们家快没钱了，你这傻孩子怎么老是不听？	哼毕小松的球那么臭，你叫什么好？
EmoEmilia	EmoEmilia_ZH_B00005_S01386_W000003.wav	anger	哼毕小松的球那么臭，你叫什么好？	你让他从头擦起，他怎么擦啊，你这么高还那么矮，他怎么够得着你的头啊？
EmoEmilia	EmoEmilia_ZH_B00005_S01409_W000036.wav	anger	你让他从头擦起，他怎么擦啊，你这么高还那么矮，他怎么够得着你的头啊？	是什么是什么？就是打嘴仗，你爸跟你妈不唧唧歪歪。
EmoEmilia	EmoEmilia_ZH_B00005_S01458_W000002.wav	anger	是什么是什么？就是打嘴仗，你爸跟你妈不唧唧歪歪。	顿时生气了，大声冲萌，小呆喊，原来是你，喝光了，我的果汁，我是不会原谅你的。
EmoEmilia	EmoEmilia_ZH_B00005_S01551_W000004.wav	anger	顿时生气了，大声冲萌，小呆喊，原来是你，喝光了，我的果汁，我是不会原谅你的。	都怪你，要不是你大喊一声奇妙老师，也不会拿走我的薯片。
EmoEmilia	EmoEmilia_ZH_B00005_S01555_W000000.wav	anger	都怪你，要不是你大喊一声奇妙老师，也不会拿走我的薯片。	一百分有什么了不起？七十多分和一百分不就差三十多分吗？
EmoEmilia	EmoEmilia_ZH_B00005_S01556_W000011.wav	anger	一百分有什么了不起？七十多分和一百分不就差三十多分吗？	你是干什么的？少来坏我好事。
EmoEmilia	EmoEmilia_ZH_B00005_S01587_W000000.wav	anger	你是干什么的？少来坏我好事。	你竟敢闯入我家，还偷走我心爱的珍宝，你将受到惩罚。
EmoEmilia	EmoEmilia_ZH_B00005_S01600_W000000.wav	anger	你竟敢闯入我家，还偷走我心爱的珍宝，你将受到惩罚。	对，让他们来听课，也让那些不用心的同学看看兔子都能这么学习，他们好意思吗？
EmoEmilia	EmoEmilia_ZH_B00005_S01629_W000003.wav	anger	对，让他们来听课，也让那些不用心的同学看看兔子都能这么学习，他们好意思吗？	没事儿，为什么要往外面蹦？一定是你捞出来解气的。下次如果你还是这么狠心，我也会狠心对你的。
EmoEmilia	EmoEmilia_ZH_B00005_S01638_W000002.wav	anger	没事儿，为什么要往外面蹦？一定是你捞出来解气的。下次如果你还是这么狠心，我也会狠心对你的。	什么机子，总是关键时刻掉链子。
EmoEmilia	EmoEmilia_ZH_B00005_S01663_W000004.wav	anger	什么机子，总是关键时刻掉链子。	看，你们连毛驴都不如，简直就像个蜗牛。
EmoEmilia	EmoEmilia_ZH_B00005_S01729_W000001.wav	anger	看，你们连毛驴都不如，简直就像个蜗牛。	说话注意点儿，人家可不是普通的蜗牛，什么长相怪异，那叫美丽，你懂不懂？一点审美观都没有，蜗牛大师在做好事呢，你多学着点儿，别成天不干正事儿。
EmoEmilia	EmoEmilia_ZH_B00005_S01755_W000001.wav	anger	说话注意点儿，人家可不是普通的蜗牛，什么长相怪异，那叫美丽，你懂不懂？一点审美观都没有，蜗牛大师在做好事呢，你多学着点儿，别成天不干正事儿。	下次不许吹我，不许吹。
EmoEmilia	EmoEmilia_ZH_B00005_S01772_W000004.wav	anger	下次不许吹我，不许吹。	下次你要再犯这个毛病，我向你保证，我才不会冒着摔到骨头的危险去救你呢。米罗森知道自己犯了错，嗯，什么都不敢说哎。
EmoEmilia	EmoEmilia_ZH_B00005_S01830_W000077.wav	anger	下次你要再犯这个毛病，我向你保证，我才不会冒着摔到骨头的危险去救你呢。米罗森知道自己犯了错，嗯，什么都不敢说哎。	我们的仇啊，这下是非要你死我活了，你的妻子刺伤了，我儿看我怎么报复你。
EmoEmilia	EmoEmilia_ZH_B00005_S01878_W000018.wav	anger	我们的仇啊，这下是非要你死我活了，你的妻子刺伤了，我儿看我怎么报复你。	罗成在一旁瞪大了眼睛，说道，逆贼待我要了你的狗命。
EmoEmilia	EmoEmilia_ZH_B00005_S01880_W000002.wav	anger	罗成在一旁瞪大了眼睛，说道，逆贼待我要了你的狗命。	我告诉你，你的玫瑰，你你能不能让我安静一点，别叫我提你那个玫瑰的事儿了。我的鼻子鼻子就是玫瑰，真该死。要不是有人把你的一朵玫瑰花塞到我的鼻子下边，他的他现在不至于肿的像马路上的红灯似的。
EmoEmilia	EmoEmilia_ZH_B00005_S01903_W000047.wav	anger	我告诉你，你的玫瑰，你你能不能让我安静一点，别叫我提你那个玫瑰的事儿了。我的鼻子鼻子就是玫瑰，真该死。要不是有人把你的一朵玫瑰花塞到我的鼻子下边，他的他现在不至于肿的像马路上的红灯似的。	可还没等他说话，小智却是抢先一步开口了。喂，绿毛，你是谁呀？不准叫我绿毛少年脸上的怒容一闪而过。
EmoEmilia	EmoEmilia_ZH_B00005_S00445_W000022.wav	anger	可还没等他说话，小智却是抢先一步开口了。喂，绿毛，你是谁呀？不准叫我绿毛少年脸上的怒容一闪而过。	原来是你，你就是那个招惹到裂空座的家伙，是你把我的家乡破坏成那样的。
EmoEmilia	EmoEmilia_ZH_B00005_S00463_W000024.wav	anger	原来是你，你就是那个招惹到裂空座的家伙，是你把我的家乡破坏成那样的。	即便拉利亚斯没有遇到我，他也绝对不会认同你。这种货色的小顺一愣，随即勃然大怒，你说明白点儿什么叫我。这种货色。
EmoEmilia	EmoEmilia_ZH_B00005_S00493_W000034.wav	anger	即便拉利亚斯没有遇到我，他也绝对不会认同你。这种货色的小顺一愣，随即勃然大怒，你说明白点儿什么叫我。这种货色。	什么破水晶墙，看我一下把他打个稀巴烂。
EmoEmilia	EmoEmilia_ZH_B00005_S00583_W000075.wav	anger	什么破水晶墙，看我一下把他打个稀巴烂。	你以为你们这样就可以破坏我的计划吗？我告诉你们。
EmoEmilia	EmoEmilia_ZH_B00005_S01280_W000002.wav	anger	你以为你们这样就可以破坏我的计划吗？我告诉你们。	欧阳老师严厉的说，都坐下，吵什么吵。
EmoEmilia	EmoEmilia_ZH_B00005_S01481_W000005.wav	anger	欧阳老师严厉的说，都坐下，吵什么吵。	萌小呆，脸胀得通红。萌小呆，你要是走了，咱们就绝交，我放了狠话。
EmoEmilia	EmoEmilia_ZH_B00005_S01512_W000006.wav	anger	萌小呆，脸胀得通红。萌小呆，你要是走了，咱们就绝交，我放了狠话。	你太过分了。我相信马小虎。萌小呆气不过的说。
EmoEmilia	EmoEmilia_ZH_B00005_S01533_W000010.wav	anger	你太过分了。我相信马小虎。萌小呆气不过的说。	我没有喝你的果汁，马小虎，你居然冤枉我，我要跟你绝交，我们再也不是朋友了。
EmoEmilia	EmoEmilia_ZH_B00005_S01566_W000000.wav	anger	我没有喝你的果汁，马小虎，你居然冤枉我，我要跟你绝交，我们再也不是朋友了。	说老实话,多少年来,这些仇恨集在一起,真想打他一顿。
EmoEmilia	EmoEmilia_ZH_B00090_S06382_W000001.wav	anger	说老实话,多少年来,这些仇恨集在一起,真想打他一顿。	旁边的驯兽师双手还胸不满地说道，好处都留给你们俩了，我怎么办？
EmoEmilia	EmoEmilia_ZH_B00005_S00187_W000015.wav	anger	旁边的驯兽师双手还胸不满地说道，好处都留给你们俩了，我怎么办？	那是绝对是不可能的，门儿都没有。
EmoEmilia	EmoEmilia_ZH_B00005_S00492_W000043.wav	anger	那是绝对是不可能的，门儿都没有。	这个时候，气的拉斯达波罗斯一一下子扬起了自己手里的皮鞭，都是你的错。你这个江湖医生，你要。
EmoEmilia	EmoEmilia_ZH_B00005_S01858_W000087.wav	anger	这个时候，气的拉斯达波罗斯一一下子扬起了自己手里的皮鞭，都是你的错。你这个江湖医生，你要。	三宝继续低着头，等你回家我再跟你算账。
EmoEmilia	EmoEmilia_ZH_B00005_S01365_W000043.wav	anger	三宝继续低着头，等你回家我再跟你算账。	你将来的某个行为会对世界造成严重的危害，胡说八道。
EmoEmilia	EmoEmilia_ZH_B00005_S00466_W000042.wav	anger	你将来的某个行为会对世界造成严重的危害，胡说八道。	你干嘛看我手机啊?你又知道人家不正常了?
EmoEmilia	EmoEmilia_ZH_B00090_S02478_W000000.wav	anger	你干嘛看我手机啊?你又知道人家不正常了?	和你有什么关系啊，我们在说话你不要来插嘴。小志不耐烦的道，怎么没有关系啊，我就是来自阿鲁斯市的哪儿，可是我的家啊等等。
EmoEmilia	EmoEmilia_ZH_B00005_S00463_W000022.wav	anger	和你有什么关系啊，我们在说话你不要来插嘴。小志不耐烦的道，怎么没有关系啊，我就是来自阿鲁斯市的哪儿，可是我的家啊等等。	说话好声好气的更是不惜放低姿态，一点儿都不像个冠军的样子，谁让那人想都不想一口拒绝道，不行，识效的话就快点离开，不然就别怪我们不客气了。
EmoEmilia	EmoEmilia_ZH_B00005_S00469_W000030.wav	anger	说话好声好气的更是不惜放低姿态，一点儿都不像个冠军的样子，谁让那人想都不想一口拒绝道，不行，识效的话就快点离开，不然就别怪我们不客气了。	绝不你听清楚，我宁愿死，也不会承认我比你更坏。那好，你既然想死，那你就去死吧。
EmoEmilia	EmoEmilia_ZH_B00005_S01858_W000106.wav	anger	绝不你听清楚，我宁愿死，也不会承认我比你更坏。那好，你既然想死，那你就去死吧。	小智冷笑两声这话，你该和那个死胖子，还要那个死鬼博士去说。
EmoEmilia	EmoEmilia_ZH_B00005_S00463_W000026.wav	anger	小智冷笑两声这话，你该和那个死胖子，还要那个死鬼博士去说。	克拉蒂亚斯却是没料到他会这么做，只是下意识的伸手接住了小志，你怎么就这样给我呀。拉蒂亚斯鼓着嘴，气呼呼的抗议道。
EmoEmilia	EmoEmilia_ZH_B00005_S00528_W000002.wav	anger	克拉蒂亚斯却是没料到他会这么做，只是下意识的伸手接住了小志，你怎么就这样给我呀。拉蒂亚斯鼓着嘴，气呼呼的抗议道。	 Experts warned this government months ago that without urgent action that the second wave of COVID-19 would be disastrous for long-term care. But this government ignored that advice.
EmoEmilia	EmoEmilia_EN_B00097_S00426_W000000.wav	anger	 Experts warned this government months ago that without urgent action that the second wave of COVID-19 would be disastrous for long-term care. But this government ignored that advice.	 I would think that after all the trouble you caused me with Osric, you'd be eager to make amends. My office. Five minutes.
EmoEmilia	EmoEmilia_EN_B00097_S06361_W000004.wav	anger	 I would think that after all the trouble you caused me with Osric, you'd be eager to make amends. My office. Five minutes.	 And eight drops short of heaven's order. How dare you! What are you talking about?! Your crime is a death sentence!
EmoEmilia	EmoEmilia_EN_B00017_S00150_W000000.wav	anger	 And eight drops short of heaven's order. How dare you! What are you talking about?! Your crime is a death sentence!	 Everyone, listen up. Search each inch of the mountain and keep your eyes wide open. If you find monks, seize them. You will be rewarded.
EmoEmilia	EmoEmilia_EN_B00017_S00265_W000003.wav	anger	 Everyone, listen up. Search each inch of the mountain and keep your eyes wide open. If you find monks, seize them. You will be rewarded.	 And eight drops short of heaven's order. How dare you! What are you talking about?! Your crime is a death sentence!
EmoEmilia	EmoEmilia_EN_B00017_S00315_W000001.wav	anger	 And eight drops short of heaven's order. How dare you! What are you talking about?! Your crime is a death sentence!	 I am the son of the governor of Fengxian County. You know what? If you make me angry, I'll have your whole family killed. Hmph.
EmoEmilia	EmoEmilia_EN_B00017_S00463_W000000.wav	anger	 I am the son of the governor of Fengxian County. You know what? If you make me angry, I'll have your whole family killed. Hmph.	 If you make me angry, I'll have your whole family killed.
EmoEmilia	EmoEmilia_EN_B00017_S00581_W000000.wav	anger	 If you make me angry, I'll have your whole family killed.	 I want you to stop saying this right now. Don't say this anymore. Instead of saying, sorry, my English is not good, I want you to say this. I love speaking English. It's my second language.
